
37,WEB,物料管理,WEB_VIEW_ADMIT_RECORD,查看入厂记录,进入入厂记录页面的入口,【V2.2.1】新增原料入厂记录,V2.2.1,,,,,,,X,,,,,,,,,,
38,WEB,物料管理,WEB_VIEW_PACKAGE_RECORD,装箱列表,WEB导航栏进入装箱列表的入口,【V2.11-WEB】装箱列表,V2.12,,,,,,,X,,,,,,,,,,
39,WEB,追溯,WEB_HISTORY_TRACE,追溯模块,WEB导航栏追溯模块,【新增】出厂追溯,V2.11,,,,X,,,X,,,,,,,,,,
40,WEB,追溯,WEB_DELIVERY_HISTORY_TRACE,出厂追溯,WEB导航栏出厂追溯入口,【新增】出厂追溯,V2.11,,,,X,,,X,,,,,,,,,,
41,APP,追溯,APP_HISTORY_TRACE,追溯模块,APP侧边导航栏追溯模块,【新增】APP出厂物料追溯功能,V2.11,,,,X,,,X,,,,,,X,,,,
42,APP,追溯,APP_DELIVERY_HISTORY_TRACE,出厂追溯,APP侧边导航栏追溯功能入口,【新增】APP出厂物料追溯功能,V2.11,,,,X,,,X,,,,,,X,,,,
43,APP,质检,APP_CREATE_QUALITY_TESTING_TASK,创建质检任务,,5. 派发&领取质检任务,V2.11,,,,,X,,,,,,X,,,,,,
44,APP,质检,APP_ASSIGN_QUALITY_TESTING_TASK,派发质检任务,,5. 派发&领取质检任务,V2.11,,,,,X,,,,,,,,,,,,
45,APP,质检,APP_EDIT_QUALITY_TESTING_TASK,编辑质检任务,,5. 派发&领取质检任务,V2.11,,,,,X,,,,,,X,,,,,,
46,APP,质检,APP_VIEW_QUALITY_TESTING_TASK,浏览质检任务,,6. 工作台查看质检任务,V2.11,,,,,X,,,,,,X,,,,,,
47,APP,质检,APP_PERFORM_QUALITY_TESTING_TASK,执行质检任务,,7. 执行入厂检/出厂检任务8. 执行首/产中/产后检任务,V2.11,,,,,,,,,,,X,,,,,,
48,WEB,设备维护,WEB_VIEW_CHECK_TASK,浏览点检任务,,点检任务,V2.11,X,X,,,,,,,,,,,,,,,
49,WEB,设备维护,WEB_CREATE_CHECK_TASK,创建点检任务,,点检任务,V2.11,X,,,,,,,,,,,,,,,,
50,WEB,设备维护,WEB_EDIT_CHECK_TASK,编辑点检任务,,点检任务,V2.11,X,,,,,,,,,,,,,,,,
51,WEB,设备维护,WEB_REMOVE_CHECK_TASK,删除点检任务,,点检任务,V2.11,X,,,,,,,,,,,,,,,,
52,APP,设备维护,APP_PERFORM_CHECK_TASK,执行点检任务,,点检任务,V2.11,,X,,,,,,,,,,,,,,,
53,WEB,设备维护,WEB_VIEW_MAINTAIN_TASK,浏览保养任务,,保养任务,V2.11,X,X,,,X,X,,,,,,,,,,,
54,WEB,设备维护,WEB_CREATE_MAINTAIN_TASK,创建保养任务,,保养任务,V2.11,X,,,,,,,,,,,,,,,,
55,WEB,设备维护,WEB_EDIT_MAINTAIN_TASK,编辑保养任务,,保养任务,V2.11,X,,,,X,,,,,,,,,,,,
56,WEB,设备维护,WEB_REMOVE_MAINTAIN_TASK,删除保养任务,,保养任务,V2.11,X,,,,,,,,,,,,,,,,
57,APP,设备维护,APP_PERFORM_MAINTAIN_TASK,执行保养任务,,保养任务,V2.11,,X,,,,,,,,,,,,,,,
58,WEB,设备维护,WEB_VIEW_REPAIR_TASK,浏览维修任务,,维修任务,V2.11,X,X,,,,,,,,,,,,,,,
59,WEB,设备维护,WEB_CREATE_REPAIR_TASK,创建维修任务,,维修任务,V2.11,X,X,,,,,,,,,,,,,,,
60,APP,设备维护,APP_CREATE_REPAIR_TASK,创建维修任务,,维修任务,V2.11,X,X,,,,,,,,,,,,,,,
61,APP,设备维护,APP_APPLY_REPAIR_TASK,创建维修任务（需审核）,,维修任务,V2.11,,,,,X,X,X,X,X,X,X,,,,,,
62,WEB,设备维护,WEB_EDIT_REPAIR_TASK,编辑维修任务,,维修任务,V2.11,X,,,,,,,,,,,,,,,,
63,WEB,设备维护,WEB_REMOVE_REPAIR_TASK,删除维修任务,,维修任务,V2.11,X,,,,,,,,,,,,,,,,
64,APP,设备维护,APP_PERFORM_REPAIR_TASK,执行维修任务,,维修任务,V2.11,,X,,,,,,,,,,,,,,,
65,WEB,设备维护,WEB_ADD_EQUIPMENT,添加设备,,设备管理,V2.11,X,,,,,,,,,,,,,,,,
66,WEB,设备维护,WEB_VIEW_EQUIPMENT,浏览设备,,设备管理,V2.11,X,,,,,,,,,,,,,,,,
67,WEB,设备维护,WEB_EDIT_EQUIPMENT,编辑设备,,设备管理,V2.11,X,,,,,,,,,,,,,,,,
68,WEB,设备维护,WEB_REMOVE_EQUIPMENT,删除设备,,设备管理,V2.11,X,,,,,,,,,,,,,,,,
69,WEB,设备维护,WEB_ADD_MOULD,添加模具,,模具管理,V2.11,X,,,,,,,,,,,,,,,,
70,WEB,设备维护,WEB_VIEW_MOULD,浏览模具,,模具管理,V2.11,X,,,,,,,,,,,,,,,,
71,WEB,设备维护,WEB_EDIT_MOULD,编辑模具,,模具管理,V2.11,X,,,,,,,,,,,,,,,,
72,WEB,设备维护,WEB_REMOVE_MOULD,删除模具,,模具管理,V2.11,X,,,,,,,,,,,,,,,,
73,WEB,知识引擎,WEB_EQUIPMENT_MANUFACTURERS,管理设备制造商,,设备制造商,V2.11,X,,,,,,,,,,,,,,,,
74,WEB,知识引擎,WEB_REPORT_TEMPLATE,管理报告模板,,报告模板,V2.11,X,,,,,,,,,,,,,,,,
75,WEB,知识引擎,WEB_EQUIPMENT_CATEGORY,管理设备类型,,设备类型,V2.11,X,,,,,,,,,,,,,,,,
76,WEB,知识引擎,WEB_MOULD_CATEGORY,管理模具类型,,模具类型,V2.11,X,,,,,,,,,,,,,,,,
77,WEB,知识引擎,WEB_FAULT_REASON,管理故障原因,,故障原因,V2.11,X,,,,,,,,,,,,,,,,
78,WEB,知识引擎,WEB_CREATE_MATERIAL_DEF,创建物料定义,,1. 物料,V2.10,,,,,,,,,X,X,,,,,,,
79,WEB,知识引擎,WEB_EDIT_MATERIAL_DEF,编辑物料定义,,1. 物料,V2.10,,,,,,,,,X,X,,,,,,,
80,WEB,知识引擎,WEB_VIEW_MATERIAL_DEF,浏览物料定义,,1. 物料,V2.10,,,,,,,,,X,X,,,,,,,
81,WEB,知识引擎,WEB_CREATE_PROCESS_DEF,创建工序定义,,2. 工序,V2.10,,,,,,,,,X,,,,,,,,
82,WEB,知识引擎,WEB_EDIT_PROCESS_DEF,编辑工序定义,,2. 工序,V2.10,,,,,,,,,X,,,,,,,,
83,WEB,知识引擎,WEB_VIEW_PROCESS_DEF,浏览工序定义,,2. 工序,V2.10,,,,,,,,,X,,,,,,,,
84,WEB,知识引擎,WEB_CREATE_PROCESS_ROUTING_DEF,创建工艺路线定义,,4. 工艺路线,V2.10,,,,,,,,,X,X,,,,,,,
85,WEB,知识引擎,WEB_EDIT_PROCESS_ROUTING_DEF,编辑工艺路线定义,,4. 工艺路线,V2.10,,,,,,,,,X,X,,,,,,,
86,WEB,知识引擎,WEB_VIEW_PROCESS_ROUTING_DEF,浏览工艺路线定义,,4. 工艺路线,V2.10,,,,,,,,,X,X,,,,,,,
87,WEB,知识引擎,WEB_CREATE_EBOM_DEF,创建物料清单定义,,3. EBOM,V2.10,,,,,,,,,X,,,,,,,,
88,WEB,知识引擎,WEB_EDIT_EBOM_DEF,编辑物料清单定义,,3. EBOM,V2.10,,,,,,,,,X,,,,,,,,
89,WEB,知识引擎,WEB_VIEW_EBOM_DEF,浏览物料清单定义,,3. EBOM,V2.10,,,,,,,,,X,,,,,,,,
90,WEB,知识引擎,WEB_CREATE_MBOM_DEF,创建生产 BOM 定义,,5. 生产 BOM,V2.10,,,,,,,,,X,X,,,,,,,
91,WEB,知识引擎,WEB_EDIT_MBOM_DEF,编辑生产 BOM 定义,,5. 生产 BOM,V2.10,,,,,,,,,X,X,,,,,,,
92,WEB,知识引擎,WEB_VIEW_MBOM_DEF,浏览生产 BOM 定义,,5. 生产 BOM,V2.10,,,,,,,,,X,X,,,,,,,
93,WEB,知识引擎,WEB_CREATE_QUALITY_TESTING_POINT,创建质检项,,【V2.12-WEB】质检项,V2.11,,,,,,,,,,X,,,,,,,
94,WEB,知识引擎,WEB_EDIT_QUALITY_TESTING_POINT,编辑质检项,,【V2.12-WEB】质检项,V2.11,,,,,,,,,,X,,,,,,,
95,WEB,知识引擎,WEB_VIEW_QUALITY_TESTING_POINT,浏览质检项,,【V2.12-WEB】质检项,V2.11,,,,,,,,,,X,,,,,,,
96,WEB,知识引擎,WEB_CREATE_QUALITY_TESTING_TEMPLATE,创建质检方案模板,,【V2.12-WEB】质检方案,V2.11,,,,,,,,,,X,,,,,,,
97,WEB,知识引擎,WEB_EDIT_QUALITY_TESTING_TEMPLATE,编辑质检方案模板,,【V2.12-WEB】质检方案,V2.11,,,,,,,,,,X,,,,,,,
98,WEB,知识引擎,WEB_VIEW_QUALITY_TESTING_TEMPLATE,浏览质检方案模板,,【V2.12-WEB】质检方案,V2.11,,,,,,,,,,X,,,,,,,
99,WEB,知识引擎,WEB_CREATE_QUALITY_TESTING,创建质检方案,,4. 工序引用质检方案,V2.11,,,,,,,,,X,X,,,,,,,
100,WEB,知识引擎,WEB_EDIT_QUALITY_TESTING,编辑质检方案,,4. 工序引用质检方案,V2.11,,,,,,,,,X,X,,,,,,,
101,WEB,知识引擎,WEB_VIEW_QUALITY_TESTING,浏览质检方案,,4. 工序引用质检方案,V2.11,,,,,,,,,X,X,,,,,,,
102,WEB,知识引擎,WEB_CREATE_UNIT,创建单位,,,<V2.10,,,,,,,,,X,,,,,,,,
103,WEB,知识引擎,WEB_EDIT_UNIT,编辑单位,,,<V2.10,,,,,,,,,X,,,,,,,,
104,WEB,知识引擎,WEB_VIEW_UNIT,浏览单位,,,<V2.10,,,,,,,,,X,,,,,,,,
105,WEB,知识引擎,WEB_CREATE_QUALITY_TESTING_CONCERN,创建质检关注点,,,<V2.10,,,,,,,,,,X,,,,,,,
106,WEB,知识引擎,WEB_EDIT_QUALITY_TESTING_CONCERN,编辑质检关注点,,,<V2.10,,,,,,,,,,X,,,,,,,
107,WEB,知识引擎,WEB_VIEW_QUALITY_TESTING_CONCERN,浏览质检关注点,,,<V2.10,,,,,,,,,,X,,,,,,,
108,WEB,知识引擎,WEB_CREATE_CUSTOMER,创建客户,,,<V2.10,,,,,,,,,X,,,,,,,,
109,WEB,知识引擎,WEB_EDIT_CUSTOMER,编辑客户,,,<V2.10,,,,,,,,,X,,,,,,,,
110,WEB,知识引擎,WEB_VIEW_CUSTOMER,浏览客户,,,<V2.10,,,,,,,,,X,,,,,,,,
111,WEB,知识引擎,WEB_CREATE_DOWNTIME_REASON,创建停产原因,,,<V2.10,,,,,,,,,X,,,,,,,,
112,WEB,知识引擎,WEB_EDIT_DOWNTIME_REASON,编辑停产原因,,,<V2.10,,,,,,,,,X,,,,,,,,
113,WEB,知识引擎,WEB_VIEW_DOWNTIME_REASON,浏览停产原因,,,<V2.10,,,,,,,,,X,,,,,,,,
114,WEB,知识引擎,WEB_WORKSTATION,工位,WEB导航栏工位管理入口,,,,,,,X,,,,,,,X,,,,,
115,WEB,知识引擎,WEB_POSITION,仓位,WEB导航栏仓位管理入口,,,,,,,,,X,X,X,,,X,,,,,
116,WEB,权限,WEB_USER_AUTHORITY,权限,WEB导航栏权限模块的入口,在没有细分用户权限需求之前可以先只做这个一个控制节点,,,,,,,,,,,,,X,,,,,
117,WEB,权限,WEB_USER,用户,WEB导航栏用户列表页面的入口,【新增】客户用户管理,,,,,,,,,,,,,X,,,,,
118,WEB,权限,WEB_EDIT_USER,用户管理,用户列表页面新增用户用户列表页面编辑用户用户列表页面重置密码用户详情页面编辑用户用户详情页面重置密码用户详情页面删除用户,【新增】客户用户管理,,,,,,,,,,,,,X,,,,,
119,WEB,权限,WEB_USER_ROLE,角色,WEB导航栏角色列表页面的入口,【V2.11-WEB】客户角色管理,,,,,,,,,,,,,X,,,,,
